score,weight1,weight2,weight3,weight4,weight5,weight6,population
11109, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
2197, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 11
2155, -0.457391,-0.323121,0.077777,0.890312,0.751073,-1.583625, 11
1980, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 11
7723, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
1056, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
9207, -0.457391,-0.949764,0.077777,0.890312,0.751073,-1.583625, 11
3138, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 11
5595, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 11
8241, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 11
3713, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
2915, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
4266, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
6283, -0.457391,-0.839880,0.155516,0.890312,0.751073,0.101645, 11
6176, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
2922, -0.457391,-0.949764,0.155516,0.890312,0.751073,0.101645, 12
2525, -0.457391,-1.945901,0.077777,0.890312,0.751073,0.101645, 12
4307, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 12
5015, -0.457391,-0.949764,0.155516,0.890312,0.751073,0.101645, 12
7474, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
2673, -0.457391,-0.949764,0.077777,0.890312,0.751073,-1.583625, 12
1884, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 12
13025, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
3222, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
1561, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
9658, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 12
2246, -0.457391,-0.839880,0.155516,0.890312,0.751073,0.101645, 12
1643, -0.457391,-1.945901,0.077777,0.890312,0.751073,0.101645, 12
12138, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
2938, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
832, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 12
2905, -0.457391,-0.949764,0.077777,0.890312,0.751073,-1.583625, 12
1483, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 12
3694, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 12
5567, -0.651607,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
1080, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
7383, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 13
2488, -0.457391,-0.839880,0.155516,0.890312,0.751073,0.101645, 13
1099, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
13799, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
13914, -1.518622,-0.949764,0.077777,-0.903751,0.751073,0.101645, 13
4048, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
6586, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
3392, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
13879, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
10147, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
2561, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
4149, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 13
12245, -0.457391,-0.949764,0.155516,0.890312,0.751073,0.101645, 13
5158, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
6983, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
7248, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 13
10137, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
12874, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 13
8525, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
3551, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 14
3122, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
7510, -1.518622,-0.949764,0.930285,0.890312,0.751073,0.101645, 14
